1,0,0.652174,1,0.652174,0.347826
0,0,0.846154,0,0.846154,-0.846154
1,1,0.956522,0,-0.0434783,0.0434783
0.769231,0.361111,0,0.40812,-0.361111,0.769231
0.0384615,0,0,0.0384615,0,0.0384615
0.461538,0.25,0.652174,0.211538,0.402174,-0.190635
0.576923,0.0277778,0.217391,0.549145,0.189614,0.359532
1,0,0,1,0,1
1,0.5,0.869565,0.5,0.369565,0.130435
0.692308,0.111111,0.956522,0.581197,0.845411,-0.264214
0.846154,0.583333,0.434783,0.262821,-0.148551,0.411371
1,0.3,0.384615,0.7,0.0846154,0.615385
0.625,0,0.538462,0.625,0.538462,0.0865385
0.25,0,0.692308,0.25,0.692308,-0.442308
1,0.0277778,1,0.972222,0.972222,0
0.846154,0,0.347826,0.846154,0.347826,0.498328
0.807692,0.361111,0.565217,0.446581,0.204106,0.242475
0.6875,0,0,0.6875,0,0.6875
0.653846,0.222222,0.130435,0.431624,-0.0917874,0.523411
0.346154,0,0,0.346154,0,0.346154
0.0769231,0.638889,0.608696,-0.561966,-0.0301932,-0.531773
0.9375,0.4,0,0.5375,-0.4,0.9375
1,1,0.826087,0,-0.173913,0.173913
0.375,0,0.538462,0.375,0.538462,-0.163462
0.375,0.75,0.0769231,-0.375,-0.673077,0.298077
0,0.111111,0,-0.111111,-0.111111,0
0,1,0.307692,-1,-0.692308,-0.307692
0.125,0.25,0.846154,-0.125,0.596154,-0.721154
0.615385,0.861111,1,-0.245726,0.138889,-0.384615
0,1,1,-1,0,-1
0.6875,0.45,0.307692,0.2375,-0.142308,0.379808
0.9375,0.9,0.307692,0.0375,-0.592308,0.629808
0.5,0.972222,0.565217,-0.472222,-0.407005,-0.0652174
0,0.555556,0.130435,-0.555556,-0.425121,-0.130435
0.375,0.5,0.461538,-0.125,-0.0384615,-0.0865385
0.75,0.6,0.769231,0.15,0.169231,-0.0192308
0,0.6,0.923077,-0.6,0.323077,-0.923077
0.5,0.5,0,0,-0.5,0.5
0.6875,0.8,0.461538,-0.1125,-0.338462,0.225962
0.653846,0.472222,1,0.181624,0.527778,-0.346154
0.615385,0.0833333,0,0.532051,-0.0833333,0.615385
1,1,1,0,0,0
1,0.972222,0,0.0277778,-0.972222,1
0.846154,0.666667,0.217391,0.179487,-0.449275,0.628763
1,0.35,0,0.65,-0.35,1
1,1,0.565217,0,-0.434783,0.434783
0.923077,0,0,0.923077,0,0.923077
1,0.75,0.0869565,0.25,-0.663043,0.913043
0.730769,0.416667,0,0.314103,-0.416667,0.730769
0.653846,0.583333,0,0.0705128,-0.583333,0.653846
0.807692,0.222222,0,0.58547,-0.222222,0.807692
1,0.55,0,0.45,-0.55,1
1,0.833333,0.304348,0.166667,-0.528986,0.695652
1,0.15,0,0.85,-0.15,1
1,1,0.73913,0,-0.26087,0.26087
0.807692,0.638889,0,0.168803,-0.638889,0.807692
0.615385,0.25,0,0.365385,-0.25,0.615385
0.875,0.45,0,0.425,-0.45,0.875
0.961538,0.694444,0.173913,0.267094,-0.520531,0.787625
0.846154,0.111111,0,0.735043,-0.111111,0.846154
